form,problem_no,local_source,identity_fields_correct,statement_matches_fall,duplicated_from_spring,options_complete,local_answer,canonical_answer,answer_verified,detail_answer,detail_page_exists,detail_page_correct,recommended_action,evidence,canonical_problem_url,answer_key_url
A,11,2021 Fall AMC 12A Problem 11,yes,no,yes,yes,,E,no,C. 10\sqrt2,yes,no,replace Fall row from verified Fall source; reclassify; remove/regenerate incorrect detail page and teaching solution; verify answer,local_sha=3b96d229832a; canonical_fall_sha=9f4965b5f0e3; local content equals Spring A11; choices=5/5; AoPS key=E; detail answer=C (wrong),https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Problems/Problem_11,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Answer_Key
A,12,2021 Fall AMC 12A Problem 12,yes,no,yes,yes,,C,no,A. -88,yes,no,replace Fall row from verified Fall source; reclassify; remove/regenerate incorrect detail page and teaching solution; verify answer,local_sha=5d3f0e9c95f7; canonical_fall_sha=0a35822c4eac; local content equals Spring A12; choices=5/5; AoPS key=C; detail answer=A (wrong),https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Problems/Problem_12,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Answer_Key
A,13,2021 Fall AMC 12A Problem 13,yes,no,yes,yes,,A,no,B. -\sqrt3+i,yes,no,replace Fall row from verified Fall source; reclassify; remove/regenerate incorrect detail page and teaching solution; verify answer,local_sha=c3bb5516a139; canonical_fall_sha=16cfb16ed1ee; local content equals Spring A13; choices=5/5; AoPS key=A; detail answer=B (wrong),https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Problems/Problem_13,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Answer_Key
A,14,2021 Fall AMC 12A Problem 14,yes,no,yes,yes,,E,yes,"E. 21,000",yes,no,replace Fall row from verified Fall source; reclassify; remove/regenerate incorrect detail page and teaching solution; verify answer,local_sha=d5c74832d9e1; canonical_fall_sha=b6a77b769e3c; local content equals Spring A14; choices=5/5; AoPS key=E; detail answer=E (matches_key),https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Problems/Problem_14,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Answer_Key
A,15,2021 Fall AMC 12A Problem 15,yes,no,yes,yes,,D,yes,D. 95,yes,no,replace Fall row from verified Fall source; reclassify; remove/regenerate incorrect detail page and teaching solution; verify answer,local_sha=d5dc83d5a14c; canonical_fall_sha=704b3d640051; local content equals Spring A15; choices=5/5; AoPS key=D; detail answer=D (matches_key),https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Problems/Problem_15,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Answer_Key
A,16,2021 Fall AMC 12A Problem 16,yes,no,yes,yes,,B,no,C. 142,yes,no,replace Fall row from verified Fall source; reclassify; remove/regenerate incorrect detail page and teaching solution; verify answer,local_sha=96c76da7dce0; canonical_fall_sha=da4b34d8e108; local content equals Spring A16; choices=5/5; AoPS key=B; detail answer=C (wrong),https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Problems/Problem_16,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Answer_Key
A,17,2021 Fall AMC 12A Problem 17,yes,no,yes,yes,,B,missing,,no,not_applicable,replace Fall row from verified Fall source; reclassify; then generate detail page and verify answer,local_sha=d793e224a491; canonical_fall_sha=4081f5a5050e; local content equals Spring A17; choices=5/5; AoPS key=B; detail page absent,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Problems/Problem_17,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Answer_Key
A,18,2021 Fall AMC 12A Problem 18,yes,no,yes,yes,,E,missing,,no,not_applicable,replace Fall row from verified Fall source; reclassify; then generate detail page and verify answer,local_sha=5535fc99f9cc; canonical_fall_sha=2217505c9e37; local content equals Spring A18; choices=5/5; AoPS key=E; detail page absent,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Problems/Problem_18,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Answer_Key
A,19,2021 Fall AMC 12A Problem 19,yes,no,yes,yes,,B,missing,,no,not_applicable,replace Fall row from verified Fall source; reclassify; then generate detail page and verify answer,local_sha=623ee5a41046; canonical_fall_sha=1f6af2d03771; local content equals Spring A19; choices=5/5; AoPS key=B; detail page absent,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Problems/Problem_19,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Answer_Key
A,20,2021 Fall AMC 12A Problem 20,yes,no,yes,yes,,D,missing,,no,not_applicable,replace Fall row from verified Fall source; reclassify; then generate detail page and verify answer,local_sha=85d397bb0002; canonical_fall_sha=2b65d1cd8a75; local content equals Spring A20; choices=5/5; AoPS key=D; detail page absent,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Problems/Problem_20,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Answer_Key
A,21,2021 Fall AMC 12A Problem 21,yes,no,yes,yes,,C,missing,,no,not_applicable,replace Fall row from verified Fall source; reclassify; then generate detail page and verify answer,local_sha=6009f52c9373; canonical_fall_sha=22233303ba78; local content equals Spring A21; choices=5/5; AoPS key=C; detail page absent,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Problems/Problem_21,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Answer_Key
A,22,2021 Fall AMC 12A Problem 22,yes,no,yes,yes,,D,yes,D. \frac1{32},yes,no,replace Fall row from verified Fall source; reclassify; remove/regenerate incorrect detail page and teaching solution; verify answer,local_sha=07d99a406fcf; canonical_fall_sha=a7113d79a8d3; local content equals Spring A22; choices=5/5; AoPS key=D; detail answer=D (matches_key),https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Problems/Problem_22,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Answer_Key
A,23,2021 Fall AMC 12A Problem 23,yes,no,yes,yes,,A,no,D. \frac{25}{32},yes,no,replace Fall row from verified Fall source; reclassify; remove/regenerate incorrect detail page and teaching solution; verify answer,local_sha=e876e9b135c1; canonical_fall_sha=053bb3f523d5; local content equals Spring A23; choices=5/5; AoPS key=A; detail answer=D (wrong),https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Problems/Problem_23,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Answer_Key
A,24,2021 Fall AMC 12A Problem 24,yes,no,yes,yes,,E,missing,,no,not_applicable,replace Fall row from verified Fall source; reclassify; then generate detail page and verify answer,local_sha=4e8ffd39cfdb; canonical_fall_sha=c06f51916174; local content equals Spring A24; choices=5/5; AoPS key=E; detail page absent,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Problems/Problem_24,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Answer_Key
A,25,2021 Fall AMC 12A Problem 25,yes,no,yes,yes,,E,missing,,no,not_applicable,replace Fall row from verified Fall source; reclassify; then generate detail page and verify answer,local_sha=cea7e76d4486; canonical_fall_sha=16b20db00c74; local content equals Spring A25; choices=5/5; AoPS key=E; detail page absent,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Problems/Problem_25,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Answer_Key
B,1,2021 Fall AMC 12B Problem 1,yes,no,yes,yes,,E,no,D. 19,yes,no,replace Fall row from verified Fall source; reclassify; remove/regenerate incorrect detail page and teaching solution; verify answer,local_sha=480fd846c3d8; canonical_fall_sha=71339a99cc8c; local content equals Spring B1; choices=5/5; AoPS key=E; detail answer=D (wrong),https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Problems/Problem_1,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Answer_Key
B,2,2021 Fall AMC 12B Problem 2,yes,no,yes,yes,,B,yes,B. 32,yes,no,replace Fall row from verified Fall source; reclassify; remove/regenerate incorrect detail page and teaching solution; verify answer,local_sha=070f4ae122d1; canonical_fall_sha=d19523573b5e; local content equals Spring B2; choices=5/5; AoPS key=B; detail answer=B (matches_key),https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Problems/Problem_2,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Answer_Key
B,3,2021 Fall AMC 12B Problem 3,yes,no,yes,yes,,C,no,A. \frac34,yes,no,replace Fall row from verified Fall source; reclassify; remove/regenerate incorrect detail page and teaching solution; verify answer,local_sha=0f6563eeb267; canonical_fall_sha=347c9d226b33; local content equals Spring B3; choices=5/5; AoPS key=C; detail answer=A (wrong),https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Problems/Problem_3,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Answer_Key
B,4,2021 Fall AMC 12B Problem 4,yes,no,yes,yes,,E,no,C. 76,yes,no,replace Fall row from verified Fall source; reclassify; remove/regenerate incorrect detail page and teaching solution; verify answer,local_sha=b85857e0a288; canonical_fall_sha=80cccc4150e2; local content equals Spring B4; choices=5/5; AoPS key=E; detail answer=C (wrong),https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Problems/Problem_4,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Answer_Key
B,5,2021 Fall AMC 12B Problem 5,yes,no,yes,yes,,C,no,D. 7,yes,no,replace Fall row from verified Fall source; reclassify; remove/regenerate incorrect detail page and teaching solution; verify answer,local_sha=77280a732d0e; canonical_fall_sha=a518c9d4994d; local content equals Spring B5; choices=5/5; AoPS key=C; detail answer=D (wrong),https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Problems/Problem_5,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Answer_Key
B,6,2021 Fall AMC 12B Problem 6,yes,no,yes,yes,,C,no,A. 1.5,yes,no,replace Fall row from verified Fall source; reclassify; remove/regenerate incorrect detail page and teaching solution; verify answer,local_sha=ac5f204b630c; canonical_fall_sha=35e8df659770; local content equals Spring B6; choices=5/5; AoPS key=C; detail answer=A (wrong),https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Problems/Problem_6,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Answer_Key
B,7,2021 Fall AMC 12B Problem 7,yes,no,yes,yes,,D,no,C. 1:14,yes,no,replace Fall row from verified Fall source; reclassify; remove/regenerate incorrect detail page and teaching solution; verify answer,local_sha=416e2cc12519; canonical_fall_sha=b97096fc920b; local content equals Spring B7; choices=5/5; AoPS key=D; detail answer=C (wrong),https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Problems/Problem_7,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Answer_Key
B,8,2021 Fall AMC 12B Problem 8,yes,no,yes,yes,,D,no,B. 6,yes,no,replace Fall row from verified Fall source; reclassify; remove/regenerate incorrect detail page and teaching solution; verify answer,local_sha=66c3b815a3a3; canonical_fall_sha=032d81cd7a3c; local content equals Spring B8; choices=5/5; AoPS key=D; detail answer=B (wrong),https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Problems/Problem_8,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Answer_Key
B,9,2021 Fall AMC 12B Problem 9,yes,no,yes,yes,,B,no,D. 2,yes,no,replace Fall row from verified Fall source; reclassify; remove/regenerate incorrect detail page and teaching solution; verify answer,local_sha=003088cbd6c5; canonical_fall_sha=601af00149f4; local content equals Spring B9; choices=5/5; AoPS key=B; detail answer=D (wrong),https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Problems/Problem_9,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Answer_Key
B,10,2021 Fall AMC 12B Problem 10,yes,no,yes,yes,,E,yes,E. 10,yes,no,replace Fall row from verified Fall source; reclassify; remove/regenerate incorrect detail page and teaching solution; verify answer,local_sha=39d41954175d; canonical_fall_sha=f55af5ec986b; local content equals Spring B10; choices=5/5; AoPS key=E; detail answer=E (matches_key),https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Problems/Problem_10,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Answer_Key
B,11,2021 Fall AMC 12B Problem 11,yes,no,yes,yes,,C,missing,,no,not_applicable,replace Fall row from verified Fall source; reclassify; then generate detail page and verify answer,local_sha=a930f693d643; canonical_fall_sha=bc8ccf6483ca; local content equals Spring B11; choices=5/5; AoPS key=C; detail page absent,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Problems/Problem_11,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Answer_Key
B,12,2021 Fall AMC 12B Problem 12,yes,no,yes,yes,,B,no,D. 36.8,yes,no,replace Fall row from verified Fall source; reclassify; remove/regenerate incorrect detail page and teaching solution; verify answer,local_sha=d17103d2d0a4; canonical_fall_sha=d9f62ab27e27; local content equals Spring B12; choices=5/5; AoPS key=B; detail answer=D (wrong),https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Problems/Problem_12,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Answer_Key
B,13,2021 Fall AMC 12B Problem 13,yes,no,yes,yes,,E,missing,,no,not_applicable,replace Fall row from verified Fall source; reclassify; then generate detail page and verify answer,local_sha=99dd29b16ed2; canonical_fall_sha=0b318ea94cac; local content equals Spring B13; choices=5/5; AoPS key=E; detail page absent,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Problems/Problem_13,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Answer_Key
B,14,2021 Fall AMC 12B Problem 14,yes,no,yes,yes,,B,missing,,no,not_applicable,replace Fall row from verified Fall source; reclassify; then generate detail page and verify answer,local_sha=d92246391e28; canonical_fall_sha=9fc50e72dd49; local content equals Spring B14; choices=5/5; AoPS key=B; detail page absent,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Problems/Problem_14,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Answer_Key
B,15,2021 Fall AMC 12B Problem 15,yes,no,yes,yes,,E,missing,,no,not_applicable,replace Fall row from verified Fall source; reclassify; then generate detail page and verify answer,local_sha=9642ed27ba39; canonical_fall_sha=703404360688; local content equals Spring B15; choices=5/5; AoPS key=E; detail page absent,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Problems/Problem_15,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Answer_Key
B,16,2021 Fall AMC 12B Problem 16,yes,no,yes,yes,,B,no,A. \frac{1+a+b+c}{c},yes,no,replace Fall row from verified Fall source; reclassify; remove/regenerate incorrect detail page and teaching solution; verify answer,local_sha=965dd3be8c0f; canonical_fall_sha=f048f1ca4dae; local content equals Spring B16; choices=5/5; AoPS key=B; detail answer=A (wrong),https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Problems/Problem_16,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Answer_Key
B,17,2021 Fall AMC 12B Problem 17,yes,no,yes,no,,A,missing,,no,not_applicable,replace Fall row from verified Fall source; reclassify; then generate detail page and verify answer,local_sha=7696b42f0c5b; canonical_fall_sha=7e046f5eb6f0; local content equals Spring B17; choices=0/5; AoPS key=A; detail page absent,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Problems/Problem_17,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Answer_Key
B,18,2021 Fall AMC 12B Problem 18,yes,no,yes,yes,,A,missing,,no,not_applicable,replace Fall row from verified Fall source; reclassify; then generate detail page and verify answer,local_sha=464d567943e9; canonical_fall_sha=6b854df8bfae; local content equals Spring B18; choices=5/5; AoPS key=A; detail page absent,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Problems/Problem_18,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Answer_Key
B,19,2021 Fall AMC 12B Problem 19,yes,no,yes,yes,,E,missing,,no,not_applicable,replace Fall row from verified Fall source; reclassify; then generate detail page and verify answer,local_sha=99ac5fd70f46; canonical_fall_sha=9c90a8c4e835; local content equals Spring B19; choices=5/5; AoPS key=E; detail page absent,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Problems/Problem_19,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Answer_Key
B,20,2021 Fall AMC 12B Problem 20,yes,no,yes,yes,,A,yes,A. -z,yes,no,replace Fall row from verified Fall source; reclassify; remove/regenerate incorrect detail page and teaching solution; verify answer,local_sha=6aa64205e86e; canonical_fall_sha=2378cc514057; local content equals Spring B20; choices=5/5; AoPS key=A; detail answer=A (matches_key),https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Problems/Problem_20,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Answer_Key
B,21,2021 Fall AMC 12B Problem 21,yes,no,yes,yes,,A,missing,,no,not_applicable,replace Fall row from verified Fall source; reclassify; then generate detail page and verify answer,local_sha=b81febc136e5; canonical_fall_sha=71d5a8d46a90; local content equals Spring B21; choices=5/5; AoPS key=A; detail page absent,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Problems/Problem_21,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Answer_Key
B,22,2021 Fall AMC 12B Problem 22,yes,no,yes,yes,,C,missing,,no,not_applicable,replace Fall row from verified Fall source; reclassify; then generate detail page and verify answer,local_sha=6e064b5c7838; canonical_fall_sha=256416800c33; local content equals Spring B22; choices=5/5; AoPS key=C; detail page absent,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Problems/Problem_22,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Answer_Key
B,23,2021 Fall AMC 12B Problem 23,yes,no,yes,yes,,A,yes,A. 55,yes,no,replace Fall row from verified Fall source; reclassify; remove/regenerate incorrect detail page and teaching solution; verify answer,local_sha=cb20c9676356; canonical_fall_sha=a5ca50f9d160; local content equals Spring B23; choices=5/5; AoPS key=A; detail answer=A (matches_key),https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Problems/Problem_23,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Answer_Key
B,24,2021 Fall AMC 12B Problem 24,yes,no,yes,yes,,C,missing,,no,not_applicable,replace Fall row from verified Fall source; reclassify; then generate detail page and verify answer,local_sha=8bba5061c3ec; canonical_fall_sha=d6895f0936b6; local content equals Spring B24; choices=5/5; AoPS key=C; detail page absent,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Problems/Problem_24,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Answer_Key
B,25,2021 Fall AMC 12B Problem 25,yes,no,yes,yes,,C,missing,,no,not_applicable,replace Fall row from verified Fall source; reclassify; then generate detail page and verify answer,local_sha=318a6762f857; canonical_fall_sha=3d9624197bc3; local content equals Spring B25; choices=5/5; AoPS key=C; detail page absent,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Problems/Problem_25,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12B_Answer_Key
